"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Digital Delivery - Schools","DFE-2664","Grade 6 - London","74528","82869","Manager - Digital Delivery - Schools Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","FE Support, Improvement and Provider Engagement","DFE-2394","Grade 6 - National","70854","78241","Manager - FE Support, Improvement and Provider Engagement Grade 6-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Funding Policy Implementation","DFE-2609","Grade 7 - London","62336","72057","Manager - Funding Policy Implementation Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Central Analysis Unit","DFE-2238","SEO (Accountant) - National","49615","54551","Senior Executive Officer - Central Analysis Unit SEO-Yorkshire and The Humber","4.90","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Work Based Skills Operations and Performance","DFE-2423","Grade 6 - National","70854","78241","Manager - Work Based Skills Operations and Performance Grade 6-North West","1.00","Other","North West"
"Department for Education","Department for Education","Technical Education & Qualification Reforms","DFE-2093","Grade 6 - National","70854","78241","Manager - Technical Education & Qualification Reforms​ Grade 6-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","FE Provider Infrastructure","DFE-2387","Grade 6 - National","70854","78241","Manager - FE Provider Infrastructure​ Grade 6-West Midlands","0.60","Other","West Midlands"
"Department for Education","Department for Education","FE Support, Improvement and Provider Engagement","DFE-2394","HEO - National","36000","38229","Higher Executive Officer - FE Support, Improvement and Provider Engagement HEO-Yorkshire and The Humber","1.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","HEO - National","36000","38229","Higher Executive Officer - Customer Success & Shared Service Operations HEO-North West","0.81","Other","North West"
"Department for Education","Department for Education","Education Estates Legal, Land and Planning","DFE-2207","Grade 7 - National","58185","67219","Manager - Education Estates Legal, Land and Planning Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","SEO (Accountant) - National","49615","54551","Senior Executive Officer - Commercial Specialist - Skills SEO-West Midlands","3.21","Other","West Midlands"
"Department for Education","Department for Education","DDT Incubator","DFE-2475","Grade 6 - National","70854","78241","Manager - DDT Incubator Grade 6-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Advanced Analytics Division","DFE-2557","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Advanced Analytics SEO-London","1.00","Other","London"
"Department for Education","Department for Education","Financial Operations","DFE-2200","EO - London","35438","35438","Executive Officer - Financial Operations EO-London","2.00","Other","London"
"Department for Education","Department for Education","Central & South West Place Based Team","DFE-2508","Grade 7 - National","58185","67219","Manager - Central & South West Place Based Team Grade 7-South West","1.00","Other","South West"
"Department for Education","Department for Education","FE Support, Improvement and Provider Engagement","DFE-2394","Grade 6 - National","70854","78241","Manager - FE Support, Improvement and Provider Engagement Grade 6-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","SFSO Central Division","DFE-2202","Grade 7 - National","58185","67219","Manager - SFSO Central Division Gade 7-Unknown","1.00","Other","Unknown"
