"Parent Department","Organisation","Unit","Reporting Senior Post","Grade","Payscale Minimum (£)","Payscale Maximum (£)","Generic Job Title","Number of Posts in FTE","Professional/Occupational Group","Office Region"
"Department for Education","Department for Education","Advanced Analytics Division","DFE-2557","HEO - National","36000","38229","Higher Executive Officer - Advanced Analytics HEO-North West","3.00","Other","North West"
"Department for Education","Department for Education","Ministerial and Public Communications Division","DFE-2249","HEO (Information Officer) - National","40044","42778","Higher Executive Officer - Ministerial and Public Communications Division HEO-East Midlands","2.00","Other","East Midlands"
"Department for Education","Department for Education","Payroll, Reward, Policies and ER","DFE-2527","EO - National","31479","31479","Executive Officer - Payroll, Reward, Policies and ER EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Regions Group: North East","DFE-2056","HEO - National","36000","38229","Higher Executive Officer - Regions Group: North East HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Central Analysis Unit","DFE-2238","SEO (Senior Research Officer) - National","48999","53884","Senior Executive Officer - Central Research and Evaluation & Chief Social Researcher SEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Regions Group: Yorkshire & Humber and National CSC and BSiL","DFE-2613","EO - National","31479","31479","Executive Officer - Regions Group: Yorkshire & Humber and National CSC and BSiL EO-East Midlands","0.60","Other","East Midlands"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","HEO - National","36000","38229","Higher Executive Officer - Commercial Specialist - ESFA HEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","CS Policy Profession Unit","DFE-2498","HEO (Information Officer) - National","40044","42778","Higher Executive Officer - CS Policy Profession Unit HEO-Yorkshire and The Humber","3.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Local Accountability and Improvement","DFE-2383","EO - London","35438","35438","Executive Officer - Local Accountability and Improvement EO-London","2.00","Other","London"
"Department for Education","Department for Education","International Evidence and Trade","DFE-2470","Grade 7 - London","62336","72057","Manager - International Evidence and Trade Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Early Years Quality, Recovery and Welfare","DFE-2240","HEO - National","36000","38229","Higher Executive Officer - Early Years Quality, Recovery and Welfare HEO-East Midlands","2.00","Other","East Midlands"
"Department for Education","Department for Education","Breakfast Clubs, Wraparound Childcare and HAF","DFE-2544","HEO - London","40132","42699","Higher Executive Officer - Breakfast Clubs, Wraparound Childcare and HAF HEO-London","0.81","Other","London"
"Department for Education","Department for Education","Regions Group: West Midlands","DFE-2406","HEO - National","36000","38229","Higher Executive Officer - Regions Group: West Midlands HEO (Position Vacate:09/10/2025)-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Enterprise Data for Insight","DFE-2392","Grade 7 - National","58185","67219","Manager - Enterprise Data for Insight Grade 7-South West","0.78","Other","South West"
"Department for Education","Department for Education","Major Projects and Risk","DFE-2608","HEO - National","36000","38229","Higher Executive Officer - Major Projects and Risks HEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Supporting and Rewarding Teachers and Leaders","DFE-2637","EO - National","31479","31479","Executive Officer - Supporting and Rewarding Teachers and Leaders EO-North West","2.00","Other","North West"
"Department for Education","Department for Education","Legislation Division","DFE-2624","HEO - London","40132","42699","Higher Executive Officer - Legislation Division HEO-London","2.00","Other","London"
"Department for Education","Department for Education","Central Analysis Unit","DFE-2238","EO - London","35438","35438","Executive Officer - Central Analysis Unit EO-London","1.00","Other","London"
"Department for Education","Department for Education","Payroll, Reward, Policies and ER","DFE-2527","EA - National","27244","27244","Executive Assistant - Payroll, Reward, Policies and ER EA-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","FE Support, Improvement and Provider Engagement","DFE-2394","EO - National","31479","31479","Executive Officer - FE Support, Improvement and Provider Engagement EO-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Schools and Funding Analysis","DFE-2567","HEO (Information Officer) - National","40044","42778","Higher Executive Officer - Schools and Funding Analysis HEO-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Data Science (ESFA)","DFE-2601","HEO - National","36000","38229","Higher Executive Officer - Data Science (ESFA) HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Technology Operations","DFE-2461","EO - National","31479","31479","Executive Officer - Knowledge and Information Management EO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Developing Teachers and Leaders","DFE-2670","EO - National","31479","31479","Executive Officer - Developing Teachers and Leaders EO-Yorkshire and The Humber","0.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Central Analysis Unit","DFE-2238","SEO (Senior Economic Assistant) - London","52799","58810","Senior Executive Officer - Central Analysis Unit SEO-London","4.00","Other","London"
"Department for Education","Department for Education","CSC Child Protection and Safeguarding","DFE-2337","Senior Executive Officer - National","42806","47047","Senior Executive Officer - CSC Child Protection and Safeguarding SEO-East Midlands","2.00","Other","East Midlands"
"Department for Education","Department for Education","CS Policy Profession Unit","DFE-2498","HEO - National","36000","38229","Higher Executive Officer - CS Policy Profession Unit HEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Construction Programme Management, Planning and Assurance","DFE-2623","EO - National","31479","31479","Executive Officer - Construction Programme Management, Planning and Assurance EO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Regions Group: North West","DFE-2514","EO - National","31479","31479","Executive Officer - Regions Group: North West EO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Strategic Communications and Campaigns","DFE-2163","HEO (Information Officer) - London","44424","47250","Higher Executive Officer - Strategic Communications and Campaigns SEO-London","0.90","Other","London"
"Department for Education","Department for Education","Supporting and Rewarding Teachers and Leaders","DFE-2637","Grade 7 - National","58185","67219","Manager - Supporting and Rewarding Teachers and Leaders Grade 7-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Revenue Funding and Demographic Analysis","DFE-2645","SEO (Statistical Officer) - National","48999","53884","Senior Executive Officer - Revenue Funding and Demography Analysis SEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Early Years Markets and Strategy","DFE-2644","HEO - National","36000","38229","Higher Executive Officer - Early Years Markets and Strategy HEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Strategic Communications and Campaigns","DFE-2163","SEO (Information Officer) - National","48999","53884","Senior Executive Officer - Strategic Communications and Campaigns SEO-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","News and Social Media","DFE-2145","HEO (Information Officer) - London","44424","47250","Higher Executive Officer - News and Social Media SEO-London","2.00","Other","London"
"Department for Education","Department for Education","CS Policy Profession Unit","DFE-2498","Grade 7 - London","62336","72057","Manager - CS Policy Profession Unit Grade 7 (Position Vacate:12/10/2025)-London","1.00","Other","London"
"Department for Education","Department for Education","Work Based Skills Operations and Performance","DFE-2423","HEO - National","36000","38229","Higher Executive Officer - Work Based Skills Operations and Performance HEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Private Office","DFE-2698","EO - London","35438","35438","Executive Officer - Private Office HEO-London","1.00","Other","London"
"Department for Education","Department for Education","SFSO Operational Delivery - South","DFE-2085","EO - London","35438","35438","Executive Officer - SFSO Operational Delivery - South EO-London","2.00","Other","London"
"Department for Education","Department for Education","Advanced Analytics Division","DFE-2557","HEO - National","36000","38229","Higher Executive Officer - Advanced Analytics HEO-West Midlands","5.00","Other","West Midlands"
"Department for Education","Department for Education","Sustainability and Strategic Projects","DFE-2311","HEO (Higher Scientific Officer) - National","40044","42778","Higher Executive Officer - Central Analysis Unit HEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","CSC Child Protection and Safeguarding","DFE-2337","Senior Executive Officer - National","42806","47047","Senior Executive Officer - CSC Child Protection and Safeguarding SEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","EO - National","31479","31479","Executive Officer - Commercial Operations EO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Sustainability and Strategic Projects","DFE-2311","EO - National","31479","31479","Executive Officer - Disadvantage and Strategic Policy EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Schools System Accountability","DFE-2224","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Schools System Accountability SEO-South West","1.80","Other","South West"
"Department for Education","Department for Education","Essential Skills and Multiply","DFE-2104","HEO - London","40132","42699","Higher Executive Officer - Essential Skills and Multiply HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Regions Group: National","DFE-2279","HEO - National","36000","38229","Higher Executive Officer - Regions Group: National SEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Regions Group: South East","DFE-2439","EO - London","35438","35438","Executive Officer - Regions Group: South East EO-London","1.00","Other","London"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","EO - National","31479","31479","Executive Officer - Schools Commercial Strategy EO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Schools Digital","DFE-2504","HEO - National","36000","38229","Higher Executive Officer - Schools Digital HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","HR Business Partners, Workforce Skills and Strategy","DFE-2681","Grade 7 - National","58185","67219","Manager - HR Business Partners, Workforce Skills and Strategy Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Technology Operations","DFE-2461","EO - National","31479","31479","Executive Officer - Knowledge and Information Management EO-North West","0.64","Other","North West"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","EO - National","31479","31479","Executive Officer - Education Estates Data Collection and Analysis EO-South West","1.00","Other","South West"
"Department for Education","Department for Education","FE Workforce","DFE-2668","HEO - London","40132","42699","Higher Executive Officer - FE Workforce HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Digital Delivery - Vulnerable Families & Children","DFE-2503","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Digital Delivery - Vulnerable Families & Children SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","DDT Incubator","DFE-2475","EO - National","31479","31479","Executive Officer - DDT Incubator EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Specialist Sector Reform","DFE-2353","HEO - London","40132","42699","Higher Executive Officer - Specialist Sector Reform HEO (Position Vacate:13/11/2025)-London","1.00","Other","London"
"Department for Education","Department for Education","SEND Strategy","DFE-2571","HEO - London","40132","42699","Higher Executive Officer - SEND Strategy HEO-London","3.00","Other","London"
"Department for Education","Department for Education","Local Accountability and Improvement","DFE-2383","HEO - National","36000","38229","Higher Executive Officer - Local Accountability and Improvement HEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Insight and Statistics","DFE-2400","EO (Statistician Officer) - National","37136","37136","Executive Officer - Insight and Statistics EO-East Midlands","0.81","Other","East Midlands"
"Department for Education","Department for Education","Advanced Analytics Division","DFE-2557","Grade 7 - National","58185","67219","Manager - Advanced Analytics Grade 7 (Position Vacate:31/12/2025)-North West","1.00","Other","North West"
"Department for Education","Department for Education","Breakfast Clubs, Wraparound Childcare and HAF","DFE-2544","EO - National","31479","31479","Executive Officer - Breakfast Clubs, Wraparound Childcare and HAF EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","CSC Data and Digital","DFE-2010","EO - National","31479","31479","Executive Officer - CSC Data and Digital HEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Skills England","Analysis and Insights","DFE-2434","SEO (Statistical Officer) - National","48999","53884","Senior Executive Officer - Analysis and Insight SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Work Based Skills","DFE-2129","EA - National","27244","27244","Executive Assistant - Work Based Skills Operations and Performance EA-North West","1.00","Other","North West"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","Grade 7 - National","58185","67219","Manager - Customer Success & Shared Service Operations Grade 7-North East","1.00","Other","North East"
"Department for Education","Department for Education","Teacher Training and Recruitment","DFE-2541","HEO - National","36000","38229","Higher Executive Officer - Teacher Training and Recruitment HEO (Position Vacate:04/10/2025)-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","T - Level Delivery ​","DFE-2626","EO - National","31479","31479","Executive Officer - T - Level Delivery ​ EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Major Projects and Risk","DFE-2608","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Major Projects and Risks SEO-London","1.00","Other","London"
"Department for Education","Department for Education","Skills Strategy and Delivery","DFE-2570","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Skills Strategy and Delivery SEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Higher Education Oversight","DFE-2660","HEO - National","36000","38229","Higher Executive Officer - Lifelong Loan Entitlement HEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Regions Group: Yorkshire and the Humber","DFE-2572","EO - National","31479","31479","Executive Officer - Regions Group: Yorkshire and the Humber EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Regions Group: National","DFE-2577","EO - National","31479","31479","Executive Officer - Regions Group: National EO (Position Vacate:13/10/2025)-North West","1.00","Other","North West"
"Department for Education","Department for Education","High Quality Curriculum","DFE-2324","HEO - National","36000","38229","Higher Executive Officer - High Quality Curriculum HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Estates, Security and People","DFE-2025","EO - National","31479","31479","Executive Officer - Central Business Services EO-North West","2.00","Other","North West"
"Department for Education","Department for Education","Regions Group: North West","DFE-2514","HEO - National","36000","38229","Higher Executive Officer - Regions Group: North West HEO (Position Vacate:27/10/2025)-North West","1.00","Other","North West"
"Department for Education","Department for Education","Legislation Division","DFE-2624","EO - National","31479","31479","Executive Officer - Legislation Division EO-South West","0.89","Other","South West"
"Department for Education","Department for Education","Families Group Central","DFE-2551","EO - London","35438","35438","Executive Officer - Families Group Central EO-London","1.00","Other","London"
"Department for Education","Department for Education","Sector Skills","DFE-2620","EO - National","31479","31479","Executive Officer - Sector Skills EO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Family Support","DFE-2305","EO - National","31479","31479","Executive Officer - Family Support EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Higher Education Strategy and Portfolio","DFE-2239","HEO - National","36000","38229","Higher Executive Officer - Higher Education Policy HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Commercial Specialist - Skills SEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","Policy Lab","DFE-2630","HEO - National","36000","38229","Higher Executive Officer - Policy Lab HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","HEO - National","36000","38229","Higher Executive Officer - Commercial Specialist - Skills HEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","CS Policy Profession Unit","DFE-2498","HEO (Information Officer) - National","40044","42778","Higher Executive Officer - CS Policy Profession Unit HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Regions Group: North East and National SEND Improvement and Transformation","DFE-2701","HEO - London","40132","42699","Higher Executive Officer - Regions Group: North East and National SEND Improvement and Transformation HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Family Hubs and Early Years Interventions","DFE-2654","EO - National","31479","31479","Executive Officer - Family Hubs and Early Years Interventions EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","CSC Regional Cooperatives and Fostering","DFE-2443","HEO - London","40132","42699","Higher Executive Officer - CSC Regional Cooperatives and Fostering SEO-London","1.00","Other","London"
"Department for Education","Department for Education","Operations and Infrastructure Group","DFE-2536","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Commercial Specialist - ESFA SEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Skills Strategy and Delivery","DFE-2570","HEO - National","36000","38229","Higher Executive Officer - Skills Strategy and Delivery HEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","HR Services & Specialist Advice","DFE-2001","EO - National","31479","31479","Executive Officer - HR Services & Specialist Advice HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Major Projects and Risk","DFE-2608","Grade 6 - London","74528","82869","Manager - Major Projects and Risks Grade 6-London","1.00","Other","London"
"Department for Education","Department for Education","DDT Incubator","DFE-2475","HEO (Information Officer) - National","40044","42778","Higher Executive Officer - DDT Incubator HEO-Yorkshire and The Humber","0.81","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Future Student Finance and Funding​","DFE-2665","HEO - London","40132","42699","Higher Executive Officer - Future Student Finance and Funding​ HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","HEO - National","36000","38229","Higher Executive Officer - Education Estates Data Collection and Analysis HEO-East Of England","1.00","Other","East Of England"
"Department for Education","Department for Education","DfE Covid-19 Inquiry Response","DFE-2369","HEO - National","36000","38229","Higher Executive Officer - DfE Covid-19 Inquiry Response HEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Schools and Funding Analysis","DFE-2567","HEO (Higher Scientific Officer) - National","40044","42778","Higher Executive Officer - Schools and Funding Analysis HEO-West Midlands","2.00","Other","West Midlands"
"Department for Education","Department for Education","Financial Operations","DFE-2200","HEO - National","36000","38229","Higher Executive Officer - Central Operations, Finance & Performance HEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Teachers' Pension Scheme","DFE-2675","HEO - National","36000","38229","Higher Executive Officer - Teachers' Pension Scheme HEO-North West","2.00","Other","North West"
"Department for Education","Department for Education","Regions Group: National","DFE-2021","EO - National","31479","31479","Executive Officer - Regions Group: National EO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Construction Grants, Assurance and Response","DFE-2344","EO - National","31479","31479","Executive Officer - Condition Funding & Response EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Capital Delivery","DFE-2568","EO - National","31479","31479","Executive Officer - Construction and External Technical Services EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","HR Business Partners, Workforce Skills and Strategy","DFE-2681","Grade 7 - National","58185","67219","Manager - HR Business Partners, Workforce Skills and Strategy Grade 7-East Midlands","0.64","Other","East Midlands"
"Department for Education","Department for Education","Construction Grants, Assurance and Response","DFE-2344","EO - National","31479","31479","Executive Officer - Construction Grants, Assurance and Response EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","SEND Strategy","DFE-2571","EO - National","31479","31479","Executive Officer - SEND Strategy EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Schools Digital","DFE-2504","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Schools Digital Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Strategy and Portfolio","DFE-2277","EO - National","31479","31479","Executive Officer - Strategy and Portfolio EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","CSC Outcomes, Care Leavers and Capital","DFE-2347","HEO - National","36000","38229","Higher Executive Officer - CSC Outcomes, Care Leavers and Capital HEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","HR Services & Specialist Advice","DFE-2001","EO - National","31479","31479","Executive Officer - HR Services & Specialist Advice HEO-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Enterprise Data for Insight","DFE-2392","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Enterprise Data for Insight SEO-Unknown","1.00","Other","Unknown"
"Department for Education","Department for Education","Enterprise Data for Insight","DFE-2392","Legacy Grade","1","150000","Manager - Enterprise Data for Insight (Legacy Grade)-Unknown","3.46","Other","Unknown"
"Department for Education","Department for Education","Skills Strategy and Delivery","DFE-2570","HEO - National","36000","38229","Higher Executive Officer - Skills Strategy and Delivery HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Standard and Testing Agency","STA Assessment DDaT","DFE-2607","Grade 7 - National","58185","67219","Manager - STA Assessment DDaT Grade 7 (Position Vacate:10/11/2025)-South West","0.75","Other","South West"
"Department for Education","Department for Education","Essential Skills and Multiply","DFE-2104","Grade 7 - National","58185","67219","Manager - Essential Skills and Multiply Grade 7-West Midlands","0.89","Other","West Midlands"
"Department for Education","Department for Education","Digital Delivery - Schools","DFE-2664","HEO - National","36000","38229","Higher Executive Officer - Free Schools, FE and Skills HEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Customer Experience & Design","DFE-2478","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Customer Experience & Design SEO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","EO - National","31479","31479","Executive Officer - Operational Excellence EO-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Customer Experience & Design","DFE-2478","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Customer Experience & Design SEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Estates, Security and People","DFE-2025","EO - London","35438","35438","Executive Officer - Estates, Security and People EO-London","1.00","Other","London"
"Department for Education","Department for Education","Work Based Skills","DFE-2129","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Apprenticeships, Operations and Performance SEO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","SEND Strategy","DFE-2571","Senior Executive Officer - National","42806","47047","Senior Executive Officer - SEND Strategy SEO-East Of England","0.81","Other","East Of England"
"Department for Education","Department for Education","Customer Success & Shared Service Operations","DFE-2334","EO - National","31479","31479","Executive Officer - Customer Success & Shared Service Operations HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Sector Skills","DFE-2620","EO - National","31479","31479","Executive Officer - Sector Skills EO-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Standard and Testing Agency","STA Assessment DDaT","DFE-2607","Senior Executive Officer - National","42806","47047","Senior Executive Officer - STA Assessment DDaT SEO (Position Vacate:05/10/2025)-Yorkshire and The Humber","1.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Schools System Accountability","DFE-2224","HEO - National","36000","38229","Higher Executive Officer - Schools System Accountability HEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Developing Teachers and Leaders","DFE-2670","EO - National","31479","31479","Executive Officer - Teacher Services EO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","HR Organisation Design, Development & Engagement","DFE-2407","Senior Executive Officer - National","42806","47047","Senior Executive Officer - HR Business Partners, Workforce Skills and Strategy SEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Student Funding Policy​","DFE-2516","HEO - National","36000","38229","Higher Executive Officer - Student Funding Policy​ HEO-North East","2.00","Other","North East"
"Department for Education","Department for Education","SFSO Operational Delivery - North","DFE-2084","EO - National","31479","31479","Executive Officer - SFSO Operational Delivery - North EO-Yorkshire and The Humber","2.00","Other","Yorkshire and The Humber"
"Department for Education","Department for Education","Funding Policy Implementation","DFE-2609","EO - National","31479","31479","Executive Officer - Funding Policy Implementation EO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Families Group Central","DFE-2551","HEO - National","36000","38229","Higher Executive Officer - Counter Extremism and Non-School Education HEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Education Estates Data Collection and Analysis","DFE-2627","SEO (Scientific Officer) - National","48999","53884","Senior Executive Officer - Education Estates Data Collection and Analysis SEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Regions Group: Yorkshire & Humber and National CSC and BSiL","DFE-2613","EO - National","31479","31479","Executive Officer - Regions Group: Yorkshire & Humber and National CSC and BSiL EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Central Capital Unit","DFE-2228","HEO - National","36000","38229","Higher Executive Officer - Central Capital Unit HEO-West Midlands","1.00","Other","West Midlands"
"Department for Education","Department for Education","Stakeholder Engagement","DFE-2349","HEO - London","40132","42699","Higher Executive Officer - Stakeholder Engagement HEO-London","2.00","Other","London"
"Department for Education","Department for Education","Attainment Delivery","DFE-2666","Grade 7 - London","62336","72057","Manager - Attainment Delivery Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","International Placements","DFE-2491","HEO - London","40132","42699","Higher Executive Officer - Strategy Group - DG Office HEO-London","1.00","Other","London"
"Department for Education","Department for Education","CSC Looked After Children Placements","DFE-2582","Senior Executive Officer - National","42806","47047","Senior Executive Officer - CSC Looked After Children Placements SEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Policy Lab","DFE-2631","HEO - National","36000","38229","Higher Executive Officer - Policy Lab HEO-South West","0.60","Other","South West"
"Department for Education","Department for Education","Work Based Skills Operations and Performance","DFE-2423","Senior Executive Officer - National","42806","47047","Senior Executive Officer - Work Based Skills Operations and Performance SEO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Regions Group: National","DFE-2279","EA - National","27244","27244","Executive Assistant - Regions Group: National EA-West Midlands","1.00","Other","West Midlands"
"Department for Education","Standard and Testing Agency","Standards, Testing and Regulation Directorate","DFE-2135","EO - National","31479","31479","Executive Officer - Assessment Operations and Services EO-North West","1.00","Other","North West"
"Department for Education","Department for Education","Insight and Statistics","DFE-2400","Grade 7 - London","62336","72057","Manager - Insight and Statistics Grade 7-London","1.00","Other","London"
"Department for Education","Department for Education","Developing Teachers and Leaders","DFE-2670","Grade 7 - London","62336","72057","Manager - Schools Digital Grade 7 (Position Vacate:26/11/2025)-London","1.00","Other","London"
"Department for Education","Department for Education","Families Analysis","DFE-2152","HEO (Higher Statistical Officer) - National","40044","42778","Higher Executive Officer - Families Analysis SEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Data Science (ESFA)","DFE-2601","Senior Executive Officer - London","46971","51973","Senior Executive Officer - Data Science (ESFA) SEO-London","1.00","Other","London"
"Department for Education","Department for Education","Funding Policy Implementation","DFE-2609","HEO - London","40132","42699","Higher Executive Officer - Funding Policy Implementation HEO-London","1.00","Other","London"
"Department for Education","Department for Education","T - Level Delivery ​","DFE-2626","Grade 7 - National","58185","67219","Manager - T - Level Delivery ​ Grade 7-North West","1.00","Other","North West"
"Department for Education","Department for Education","Cyber and Information Security (CISO)","DFE-2485","Grade 7 - National","58185","67219","Manager - Cyber and Information Security (CISO) Grade 7-East Midlands","1.00","Other","East Midlands"
"Department for Education","Department for Education","Funding Policy Implementation","DFE-2609","HEO - National","36000","38229","Higher Executive Officer - Funding Policy Implementation HEO-South West","1.00","Other","South West"
"Department for Education","Department for Education","Curriculum & Assessment Review","DFE-2641","HEO (Higher Statistical Officer) - London","44424","47250","Higher Executive Officer - Curriculum & Assessment Review HEO-London","1.00","Other","London"
"Department for Education","Department for Education","Digital Delivery - Funding Services","DFE-2610","Grade 6 - National","70854","78241","Manager - Advanced British Standards (Programme and Project Management) Grade 6-North West","1.00","Other","North West"
"Department for Education","Department for Education","Digital Delivery - Schools","DFE-2664","HEO - National","36000","38229","Higher Executive Officer - Digital Delivery - Schools HEO-West Midlands","0.54","Other","West Midlands"
"Department for Education","Department for Education","Higher Education Analysis","DFE-2632","HEO (Higher Scientific Officer) - National","40044","42778","Higher Executive Officer - HE Analysis HEO-North East","1.00","Other","North East"
"Department for Education","Department for Education","Family Support","DFE-2305","Grade 7 - National","58185","67219","Manager - Family Support Grade 7-North East","1.00","Other","North East"
"Department for Education","Department for Education","Family Support","DFE-2305","EO - London","35438","35438","Executive Officer - Family Support EO-London","1.00","Other","London"
"Department for Education","Department for Education","Operational Excellence","DFE-2292","HEO - London","40132","42699","Higher Executive Officer - Work Based Skills Operational Delivery HEO-London","1.00","Other","London"
